W0428 13:33:04.937000 148385 .venv/lib/python3.13/site-packages/torch/_inductor/utils.py:1731] [0/0] Not enough SMs to use max_autotune_gemm mode
Vocab size: 50257
Parameters: 67,624,520  (67.6M)
Architecture: prelude=2 + core×1 + coda=2
Novel: TopicConditioned FFN (8 topics, embed_dim=64)
Novel: Verification loss mult = 3.0x
Batch: 16×512 | accum: 2 | 16,384 tok/step
Time budget: 1800s
Topic token mapping: 8 topics registered

step 0041 (0.5%) | lm: 7.5504 | topic: 1.330 | lr: 2.85e-04 | tok/s: 66,702 | vram: 4372MB | remain: 1791s   
step 0042 (0.5%) | lm: 7.3934 | topic: 1.460 | lr: 2.93e-04 | tok/s: 67,175 | vram: 4372MB | remain: 1791s   
step 0043 (0.5%) | lm: 7.2673 | topic: 1.454 | lr: 3.02e-04 | tok/s: 67,073 | vram: 4372MB | remain: 1791s   
step 0044 (0.5%) | lm: 7.1177 | topic: 1.475 | lr: 3.10e-04 | tok/s: 66,369 | vram: 4372MB | remain: 1790s   
step 0045 (0.5%) | lm: 6.9887 | topic: 1.445 | lr: 3.18e-04 | tok/s: 66,791 | vram: 4372MB | remain: 1790s   
step 0046 (0.5%) | lm: 6.8341 | topic: 1.554 | lr: 3.26e-04 | tok/s: 66,798 | vram: 4372MB | remain: 1790s   
step 0047 (0.6%) | lm: 6.6640 | topic: 1.501 | lr: 3.34e-04 | tok/s: 66,700 | vram: 4372MB | remain: 1790s   
step 0048 (0.6%) | lm: 6.5447 | topic: 1.558 | lr: 3.42e-04 | tok/s: 66,808 | vram: 4372MB | remain: 1789s   
step 0049 (0.6%) | lm: 6.4013 | topic: 1.534 | lr: 3.51e-04 | tok/s: 66,436 | vram: 4372MB | remain: 1789s   
step 0050 (0.6%) | lm: 6.2641 | topic: 1.546 | lr: 3.59e-04 | tok/s: 66,791 | vram: 4372MB | remain: 1789s   
step 0051 (0.6%) | lm: 6.1719 | topic: 1.561 | lr: 3.67e-04 | tok/s: 66,783 | vram: 4372MB | remain: 1789s   
step 0052 (0.6%) | lm: 6.0665 | topic: 1.564 | lr: 3.75e-04 | tok/s: 66,961 | vram: 4372MB | remain: 1788s   
step 0053 (0.6%) | lm: 5.9233 | topic: 1.581 | lr: 3.83e-04 | tok/s: 66,774 | vram: 4372MB | remain: 1788s   
step 0054 (0.7%) | lm: 5.8458 | topic: 1.422 | lr: 3.92e-04 | tok/s: 66,908 | vram: 4372MB | remain: 1788s   
step 0055 (0.7%) | lm: 5.8005 | topic: 1.442 | lr: 4.00e-04 | tok/s: 66,899 | vram: 4372MB | remain: 1788s   
step 0056 (0.7%) | lm: 5.6923 | topic: 1.438 | lr: 4.08e-04 | tok/s: 67,641 | vram: 4372MB | remain: 1788s   
step 0057 (0.7%) | lm: 5.5826 | topic: 1.453 | lr: 4.16e-04 | tok/s: 66,215 | vram: 4372MB | remain: 1787s   
step 0058 (0.7%) | lm: 5.5275 | topic: 1.457 | lr: 4.24e-04 | tok/s: 66,591 | vram: 4372MB | remain: 1787s   
step 0059 (0.7%) | lm: 5.4520 | topic: 1.311 | lr: 4.32e-04 | tok/s: 66,706 | vram: 4372MB | remain: 1787s   
step 0060 (0.7%) | lm: 5.3877 | topic: 1.322 | lr: 4.41e-04 | tok/s: 66,912 | vram: 4372MB | remain: 1787s   
step 0061 (0.7%) | lm: 5.2753 | topic: 1.331 | lr: 4.49e-04 | tok/s: 66,852 | vram: 4372MB | remain: 1786s   
step 0062 (0.8%) | lm: 5.1796 | topic: 1.379 | lr: 4.57e-04 | tok/s: 66,110 | vram: 4372MB | remain: 1786s   
step 0063 (0.8%) | lm: 5.1090 | topic: 1.375 | lr: 4.65e-04 | tok/s: 66,919 | vram: 4372MB | remain: 1786s   
step 0064 (0.8%) | lm: 5.0159 | topic: 1.443 | lr: 4.73e-04 | tok/s: 66,190 | vram: 4372MB | remain: 1786s   
step 0065 (0.8%) | lm: 4.9786 | topic: 1.298 | lr: 4.82e-04 | tok/s: 66,955 | vram: 4372MB | remain: 1785s   
step 0066 (0.8%) | lm: 4.9137 | topic: 1.304 | lr: 4.90e-04 | tok/s: 66,347 | vram: 4372MB | remain: 1785s   
step 0067 (0.8%) | lm: 4.8555 | topic: 1.444 | lr: 4.98e-04 | tok/s: 66,767 | vram: 4372MB | remain: 1785s   
step 0068 (0.8%) | lm: 4.7990 | topic: 1.445 | lr: 5.06e-04 | tok/s: 66,840 | vram: 4372MB | remain: 1785s   
step 0069 (0.9%) | lm: 4.7677 | topic: 1.443 | lr: 5.14e-04 | tok/s: 66,561 | vram: 4372MB | remain: 1784s   
step 0070 (0.9%) | lm: 4.7441 | topic: 1.415 | lr: 5.22e-04 | tok/s: 66,325 | vram: 4372MB | remain: 1784s   
