W0428 13:05:34.011000 132156 .venv/lib/python3.13/site-packages/torch/_inductor/utils.py:1731] [0/0] Not enough SMs to use max_autotune_gemm mode
Vocab size: 50257
Parameters: 67,624,520  (67.6M)
Architecture: prelude=2 + core×1 + coda=2
Novel: TopicConditioned FFN (8 topics, embed_dim=64)
Novel: Verification loss mult = 3.0x
Batch: 16×512 | accum: 2 | 16,384 tok/step
Time budget: 300s

step 0042 (2.9%) | lm: 4.8957 | topic: 0.000 | lr: 1.75e-03 | tok/s: 67,382 | vram: 4372MB | remain: 291s   
step 0043 (3.0%) | lm: 4.8364 | topic: 0.000 | lr: 1.80e-03 | tok/s: 67,149 | vram: 4372MB | remain: 291s   
step 0044 (3.1%) | lm: 4.7647 | topic: 0.000 | lr: 1.85e-03 | tok/s: 67,310 | vram: 4372MB | remain: 291s   
step 0045 (3.2%) | lm: 4.7019 | topic: 0.000 | lr: 1.89e-03 | tok/s: 66,955 | vram: 4372MB | remain: 290s   
step 0046 (3.2%) | lm: 4.6014 | topic: 0.000 | lr: 1.94e-03 | tok/s: 67,495 | vram: 4372MB | remain: 290s   
step 0047 (3.3%) | lm: 4.5174 | topic: 0.000 | lr: 1.99e-03 | tok/s: 67,179 | vram: 4372MB | remain: 290s   
step 0048 (3.4%) | lm: 4.4583 | topic: 0.000 | lr: 2.04e-03 | tok/s: 67,195 | vram: 4372MB | remain: 290s   
step 0049 (3.5%) | lm: 4.3883 | topic: 0.000 | lr: 2.09e-03 | tok/s: 66,999 | vram: 4372MB | remain: 289s   
step 0050 (3.6%) | lm: 4.3134 | topic: 0.000 | lr: 2.14e-03 | tok/s: 66,930 | vram: 4372MB | remain: 289s   
step 0051 (3.6%) | lm: 4.2626 | topic: 0.000 | lr: 2.19e-03 | tok/s: 67,498 | vram: 4372MB | remain: 289s   
step 0052 (3.7%) | lm: 4.2181 | topic: 0.000 | lr: 2.24e-03 | tok/s: 67,412 | vram: 4372MB | remain: 289s   
step 0053 (3.8%) | lm: 4.1435 | topic: 0.000 | lr: 2.28e-03 | tok/s: 67,420 | vram: 4372MB | remain: 288s   
step 0054 (3.9%) | lm: 4.0776 | topic: 0.000 | lr: 2.33e-03 | tok/s: 66,536 | vram: 4372MB | remain: 288s   
step 0055 (4.0%) | lm: 4.0347 | topic: 0.000 | lr: 2.38e-03 | tok/s: 67,471 | vram: 4372MB | remain: 288s   
step 0056 (4.1%) | lm: 3.9776 | topic: 0.000 | lr: 2.43e-03 | tok/s: 67,173 | vram: 4372MB | remain: 288s   
step 0057 (4.1%) | lm: 3.9258 | topic: 0.000 | lr: 2.48e-03 | tok/s: 67,183 | vram: 4372MB | remain: 287s   
step 0058 (4.2%) | lm: 3.8515 | topic: 0.000 | lr: 2.53e-03 | tok/s: 66,854 | vram: 4372MB | remain: 287s   
step 0059 (4.3%) | lm: 3.7944 | topic: 0.000 | lr: 2.58e-03 | tok/s: 66,796 | vram: 4372MB | remain: 287s   
step 0060 (4.4%) | lm: 3.7535 | topic: 0.000 | lr: 2.63e-03 | tok/s: 67,337 | vram: 4372MB | remain: 287s   
step 0061 (4.5%) | lm: 3.7247 | topic: 0.000 | lr: 2.68e-03 | tok/s: 67,327 | vram: 4372MB | remain: 286s   
step 0062 (4.5%) | lm: 3.6973 | topic: 0.000 | lr: 2.72e-03 | tok/s: 67,219 | vram: 4372MB | remain: 286s   
step 0063 (4.6%) | lm: 3.6518 | topic: 0.000 | lr: 2.77e-03 | tok/s: 66,804 | vram: 4372MB | remain: 286s   
step 0064 (4.7%) | lm: 3.6029 | topic: 0.000 | lr: 2.82e-03 | tok/s: 67,356 | vram: 4372MB | remain: 286s   
step 0065 (4.8%) | lm: 3.5681 | topic: 0.000 | lr: 2.87e-03 | tok/s: 66,907 | vram: 4372MB | remain: 285s   
step 0066 (4.9%) | lm: 3.5623 | topic: 0.000 | lr: 2.92e-03 | tok/s: 67,033 | vram: 4372MB | remain: 285s   
step 0067 (4.9%) | lm: 3.5349 | topic: 0.000 | lr: 2.97e-03 | tok/s: 67,073 | vram: 4372MB | remain: 285s   
step 0068 (5.0%) | lm: 3.5003 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,700 | vram: 4372MB | remain: 285s   
step 0069 (5.1%) | lm: 3.4513 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,214 | vram: 4372MB | remain: 284s   
step 0070 (5.2%) | lm: 3.4591 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,983 | vram: 4372MB | remain: 284s   
step 0071 (5.3%) | lm: 3.4194 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,868 | vram: 4372MB | remain: 284s   
step 0072 (5.4%) | lm: 3.4075 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,074 | vram: 4372MB | remain: 284s   
step 0073 (5.4%) | lm: 3.4147 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,192 | vram: 4372MB | remain: 283s   
step 0074 (5.5%) | lm: 3.3762 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,158 | vram: 4372MB | remain: 283s   
step 0075 (5.6%) | lm: 3.3628 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,885 | vram: 4372MB | remain: 283s   
step 0076 (5.7%) | lm: 3.3311 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,999 | vram: 4372MB | remain: 283s   
step 0077 (5.8%) | lm: 3.3016 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,132 | vram: 4372MB | remain: 282s   
step 0078 (5.8%) | lm: 3.2891 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,266 | vram: 4372MB | remain: 282s   
step 0079 (5.9%) | lm: 3.2710 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,015 | vram: 4372MB | remain: 282s   
step 0080 (6.0%) | lm: 3.2295 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,350 | vram: 4372MB | remain: 282s   
step 0081 (6.1%) | lm: 3.2260 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,734 | vram: 4372MB | remain: 281s   
step 0082 (6.2%) | lm: 3.1904 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,243 | vram: 4372MB | remain: 281s   
step 0083 (6.2%) | lm: 3.1795 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,762 | vram: 4372MB | remain: 281s   
step 0084 (6.3%) | lm: 3.1741 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,605 | vram: 4372MB | remain: 281s   
step 0085 (6.4%) | lm: 3.1971 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,845 | vram: 4372MB | remain: 281s   
step 0086 (6.5%) | lm: 3.1712 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,927 | vram: 4372MB | remain: 280s   
step 0087 (6.6%) | lm: 3.1609 | topic: 0.000 | lr: 3.00e-03 | tok/s: 68,194 | vram: 4372MB | remain: 280s   
step 0088 (6.7%) | lm: 3.1704 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,602 | vram: 4372MB | remain: 280s   
step 0089 (6.7%) | lm: 3.1635 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,726 | vram: 4372MB | remain: 280s   
step 0090 (6.8%) | lm: 3.1500 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,858 | vram: 4372MB | remain: 279s   
step 0091 (6.9%) | lm: 3.1745 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,093 | vram: 4372MB | remain: 279s   
step 0092 (7.0%) | lm: 3.1567 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,916 | vram: 4372MB | remain: 279s   
step 0093 (7.1%) | lm: 3.1429 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,068 | vram: 4372MB | remain: 279s   
step 0094 (7.1%) | lm: 3.1050 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,561 | vram: 4372MB | remain: 278s   
step 0095 (7.2%) | lm: 3.1056 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,910 | vram: 4372MB | remain: 278s   
step 0096 (7.3%) | lm: 3.0966 | topic: 0.000 | lr: 3.00e-03 | tok/s: 68,276 | vram: 4372MB | remain: 278s   
step 0097 (7.4%) | lm: 3.0954 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,075 | vram: 4372MB | remain: 278s   
step 0098 (7.5%) | lm: 3.1221 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,225 | vram: 4372MB | remain: 277s   
step 0099 (7.5%) | lm: 3.1460 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,484 | vram: 4372MB | remain: 277s   
step 0100 (7.6%) | lm: 3.1241 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,196 | vram: 4372MB | remain: 277s   
step 0101 (7.7%) | lm: 3.0683 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,122 | vram: 4372MB | remain: 277s   
step 0102 (7.8%) | lm: 3.0260 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,783 | vram: 4372MB | remain: 276s   
step 0103 (7.9%) | lm: 2.9900 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,945 | vram: 4372MB | remain: 276s   
step 0104 (8.0%) | lm: 2.9727 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,892 | vram: 4372MB | remain: 276s   
step 0105 (8.0%) | lm: 2.9525 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,115 | vram: 4372MB | remain: 276s   
step 0106 (8.1%) | lm: 2.9123 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,820 | vram: 4372MB | remain: 275s   
step 0107 (8.2%) | lm: 2.8959 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,035 | vram: 4372MB | remain: 275s   
step 0108 (8.3%) | lm: 2.8918 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,684 | vram: 4372MB | remain: 275s   
step 0109 (8.4%) | lm: 2.8703 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,882 | vram: 4372MB | remain: 275s   
step 0110 (8.4%) | lm: 2.8542 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,464 | vram: 4372MB | remain: 274s   
step 0111 (8.5%) | lm: 2.8513 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,654 | vram: 4372MB | remain: 274s   
step 0112 (8.6%) | lm: 2.8392 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,631 | vram: 4372MB | remain: 274s   
step 0113 (8.7%) | lm: 2.8334 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,770 | vram: 4372MB | remain: 274s   
step 0114 (8.8%) | lm: 2.8322 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,720 | vram: 4372MB | remain: 273s   
step 0115 (8.9%) | lm: 2.8455 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,954 | vram: 4372MB | remain: 273s   
step 0116 (8.9%) | lm: 2.8634 | topic: 0.000 | lr: 3.00e-03 | tok/s: 68,084 | vram: 4372MB | remain: 273s   
step 0117 (9.0%) | lm: 2.8433 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,590 | vram: 4372MB | remain: 273s   
step 0118 (9.1%) | lm: 2.8670 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,889 | vram: 4372MB | remain: 272s   
step 0119 (9.2%) | lm: 2.8822 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,028 | vram: 4372MB | remain: 272s   
step 0120 (9.3%) | lm: 2.8719 | topic: 0.000 | lr: 3.00e-03 | tok/s: 68,055 | vram: 4372MB | remain: 272s   
step 0121 (9.3%) | lm: 2.8477 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,721 | vram: 4372MB | remain: 272s   
step 0122 (9.4%) | lm: 2.8309 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,325 | vram: 4372MB | remain: 271s   
step 0123 (9.5%) | lm: 2.7971 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,702 | vram: 4372MB | remain: 271s   
step 0124 (9.6%) | lm: 2.7880 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,833 | vram: 4372MB | remain: 271s   
step 0125 (9.7%) | lm: 2.7838 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,061 | vram: 4372MB | remain: 271s   
step 0126 (9.8%) | lm: 2.7804 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,800 | vram: 4372MB | remain: 271s   
step 0127 (9.8%) | lm: 2.7985 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,556 | vram: 4372MB | remain: 270s   
step 0128 (9.9%) | lm: 2.7817 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,675 | vram: 4372MB | remain: 270s   
step 0129 (10.0%) | lm: 2.7812 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,933 | vram: 4372MB | remain: 270s   
step 0130 (10.1%) | lm: 2.7792 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,439 | vram: 4372MB | remain: 270s   
step 0131 (10.2%) | lm: 2.7599 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,842 | vram: 4372MB | remain: 269s   
step 0132 (10.2%) | lm: 2.7679 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,221 | vram: 4372MB | remain: 269s   
step 0133 (10.3%) | lm: 2.7822 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,905 | vram: 4372MB | remain: 269s   
step 0134 (10.4%) | lm: 2.7776 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,737 | vram: 4372MB | remain: 269s   
step 0135 (10.5%) | lm: 2.7744 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,738 | vram: 4372MB | remain: 268s   
step 0136 (10.6%) | lm: 2.8028 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,752 | vram: 4372MB | remain: 268s   
step 0137 (10.6%) | lm: 2.8035 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,973 | vram: 4372MB | remain: 268s   
step 0138 (10.7%) | lm: 2.8380 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,031 | vram: 4372MB | remain: 268s   
step 0139 (10.8%) | lm: 2.7957 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,744 | vram: 4372MB | remain: 267s   
step 0140 (10.9%) | lm: 2.7741 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,904 | vram: 4372MB | remain: 267s   
step 0141 (11.0%) | lm: 2.7694 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,067 | vram: 4372MB | remain: 267s   
step 0142 (11.1%) | lm: 2.7427 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,274 | vram: 4372MB | remain: 267s   
step 0143 (11.1%) | lm: 2.7312 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,715 | vram: 4372MB | remain: 266s   
step 0144 (11.2%) | lm: 2.7094 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,581 | vram: 4372MB | remain: 266s   
step 0145 (11.3%) | lm: 2.7158 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,960 | vram: 4372MB | remain: 266s   
step 0146 (11.4%) | lm: 2.6991 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,657 | vram: 4372MB | remain: 266s   
step 0147 (11.5%) | lm: 2.6749 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,454 | vram: 4372MB | remain: 265s   
step 0148 (11.5%) | lm: 2.6809 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,115 | vram: 4372MB | remain: 265s   
step 0149 (11.6%) | lm: 2.6627 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,771 | vram: 4372MB | remain: 265s   
step 0150 (11.7%) | lm: 2.6440 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,728 | vram: 4372MB | remain: 265s   
step 0151 (11.8%) | lm: 2.6537 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,793 | vram: 4372MB | remain: 264s   
step 0152 (11.9%) | lm: 2.6460 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,753 | vram: 4372MB | remain: 264s   
step 0153 (12.0%) | lm: 2.6642 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,699 | vram: 4372MB | remain: 264s   
step 0154 (12.0%) | lm: 2.6571 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,458 | vram: 4372MB | remain: 264s   
step 0155 (12.1%) | lm: 2.6342 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,721 | vram: 4372MB | remain: 263s   
step 0156 (12.2%) | lm: 2.6473 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,916 | vram: 4372MB | remain: 263s   
step 0157 (12.3%) | lm: 2.6339 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,443 | vram: 4372MB | remain: 263s   
step 0158 (12.4%) | lm: 2.6338 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,040 | vram: 4372MB | remain: 263s   
step 0159 (12.4%) | lm: 2.6040 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,947 | vram: 4372MB | remain: 262s   
step 0160 (12.5%) | lm: 2.6238 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,895 | vram: 4372MB | remain: 262s   
step 0161 (12.6%) | lm: 2.6335 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,360 | vram: 4372MB | remain: 262s   
step 0162 (12.7%) | lm: 2.6404 | topic: 0.000 | lr: 3.00e-03 | tok/s: 67,096 | vram: 4372MB | remain: 262s   
step 0163 (12.8%) | lm: 2.6407 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,737 | vram: 4372MB | remain: 261s   
step 0164 (12.9%) | lm: 2.6484 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,597 | vram: 4372MB | remain: 261s   
step 0165 (12.9%) | lm: 2.6320 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,574 | vram: 4372MB | remain: 261s   
step 0166 (13.0%) | lm: 2.6646 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,550 | vram: 4372MB | remain: 261s   
step 0167 (13.1%) | lm: 2.6333 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,611 | vram: 4372MB | remain: 260s   
step 0168 (13.2%) | lm: 2.6140 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,454 | vram: 4372MB | remain: 260s   
step 0169 (13.3%) | lm: 2.6124 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,459 | vram: 4372MB | remain: 260s   
step 0170 (13.3%) | lm: 2.5898 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,555 | vram: 4372MB | remain: 260s   
step 0171 (13.4%) | lm: 2.5750 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,567 | vram: 4372MB | remain: 259s   
step 0172 (13.5%) | lm: 2.5789 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,644 | vram: 4372MB | remain: 259s   
step 0173 (13.6%) | lm: 2.5532 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,744 | vram: 4372MB | remain: 259s   
step 0174 (13.7%) | lm: 2.5747 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,534 | vram: 4372MB | remain: 259s   
step 0175 (13.8%) | lm: 2.5748 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,907 | vram: 4372MB | remain: 258s   
step 0176 (13.8%) | lm: 2.5566 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,646 | vram: 4372MB | remain: 258s   
step 0177 (13.9%) | lm: 2.5417 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,581 | vram: 4372MB | remain: 258s   
step 0178 (14.0%) | lm: 2.5412 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,421 | vram: 4372MB | remain: 258s   
step 0179 (14.1%) | lm: 2.5505 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,859 | vram: 4372MB | remain: 258s   
step 0180 (14.2%) | lm: 2.5776 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,444 | vram: 4372MB | remain: 257s   
step 0181 (14.2%) | lm: 2.5772 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,673 | vram: 4372MB | remain: 257s   
step 0182 (14.3%) | lm: 2.5680 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,729 | vram: 4372MB | remain: 257s   
step 0183 (14.4%) | lm: 2.5471 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,640 | vram: 4372MB | remain: 257s   
step 0184 (14.5%) | lm: 2.5453 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,603 | vram: 4372MB | remain: 256s   
step 0185 (14.6%) | lm: 2.5557 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,765 | vram: 4372MB | remain: 256s   
step 0186 (14.7%) | lm: 2.5604 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,609 | vram: 4372MB | remain: 256s   
step 0187 (14.7%) | lm: 2.5478 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,439 | vram: 4372MB | remain: 256s   
step 0188 (14.8%) | lm: 2.5395 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,519 | vram: 4372MB | remain: 255s   
step 0189 (14.9%) | lm: 2.5239 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,458 | vram: 4372MB | remain: 255s   
step 0190 (15.0%) | lm: 2.5355 | topic: 0.000 | lr: 3.00e-03 | tok/s: 66,591 | vram: 4372MB | remain: 255s   
